LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index
Green Meadows,245,"$31,347",147,0.512
Vermont Vista,246,"$31,272",132,0.526
Vermont-Slauson,247,"$31,236",149,0.498
Harvard Heights,248,"$31,173",141,0.517
Historic South-Central,249,"$30,882",246,0.229
Lincoln Heights,250,"$30,579",180,0.436
Koreatown,251,"$30,558",78,0.602
East Hollywood,252,"$29,927",94,0.578
Vermont Square,253,"$29,904",131,0.527
Broadway-Manchester,254,"$29,897",148,0.502
Adams-Normandie,255,"$29,606",114,0.545
South Park,256,"$29,518",213,0.345
Florence,257,"$29,447",183,0.434
Elysian Park,258,"$28,263",91,0.582
Vermont Knolls,259,"$27,730",136,0.521
Westlake,260,"$26,757",185,0.430
Pico-Union,261,"$26,424",236,0.264
Watts,262,"$25,161",154,0.482
Chinatown,263,"$22,754",176,0.445
University Park,264,"$18,533",29,0.676
Downtown,265,"$15,003",5,0.743
